FirstName,LastName,Username,Password,Department,Title,Email,PhoneNumber,OUPath,SecurityGroups
Eric,Turner,eturner,Mashad62974!,HR,Analyst,eric.turner@hq.local,555-1021,"OU=HR,DC=hq,DC=local","HR"
Laura,Watson,lwatson,Mashad62974!,Marketing,Manager,laura.watson@hq.local,555-1022,"OU=Marketing,DC=hq,DC=local","Marketing"
Tom,Evans,tevans,Mashad62974!,Sales,Engineer,tom.evans@hq.local,555-1023,"OU=Sales,DC=hq,DC=local","Sales"
Chloe,Bennett,cbennett,Mashad62974!,Development,Coordinator,chloe.bennett@hq.local,555-1024,"OU=Development,DC=hq,DC=local","Development"
Greg,Mitchell,gmitchell,Mashad62974!,HR,Manager,greg.mitchell@hq.local,555-1025,"OU=HR,DC=hq,DC=local","HR"
Sophia,Hayes,shayes,Mashad62974!,Marketing,Analyst,sophia.hayes@hq.local,555-1026,"OU=Marketing,DC=hq,DC=local","Marketing"
Mark,Roberts,mroberts,Mashad62974!,Sales,Coordinator,mark.roberts@hq.local,555-1027,"OU=Sales,DC=hq,DC=local","Sales"
Jenna,Collins,jcollins,Mashad62974!,Development,Engineer,jenna.collins@hq.local,555-1028,"OU=Development,DC=hq,DC=local","Development"
Frank,Edwards,fedwards,Mashad62974!,HR,Analyst,frank.edwards@hq.local,555-1029,"OU=HR,DC=hq,DC=local","HR"
Natalie,Wood,nwood,Mashad62974!,Marketing,Manager,natalie.wood@hq.local,555-1030,"OU=Marketing,DC=hq,DC=local","Marketing"
Steve,Hughes,shughes,Mashad62974!,Sales,Engineer,steve.hughes@hq.local,555-1031,"OU=Sales,DC=hq,DC=local","Sales"
Amber,Lee,alee,Mashad62974!,Development,Coordinator,amber.lee@hq.local,555-1032,"OU=Development,DC=hq,DC=local","Development"
Henry,Walker,hwalker,Mashad62974!,HR,Manager,henry.walker@hq.local,555-1033,"OU=HR,DC=hq,DC=local","HR"
Isabella,Reyes,ireyes,Mashad62974!,Marketing,Analyst,isabella.reyes@hq.local,555-1034,"OU=Marketing,DC=hq,DC=local","Marketing"
Paul,Diaz,pdiaz,Mashad62974!,Sales,Coordinator,paul.diaz@hq.local,555-1035,"OU=Sales,DC=hq,DC=local","Sales"
Katie,Long,klong,Mashad62974!,Development,Engineer,katie.long@hq.local,555-1036,"OU=Development,DC=hq,DC=local","Development"
Bruce,Allen,ballen,Mashad62974!,HR,Analyst,bruce.allen@hq.local,555-1037,"OU=HR,DC=hq,DC=local","HR"
Madison,Gray,mgray,Mashad62974!,Marketing,Manager,madison.gray@hq.local,555-1038,"OU=Marketing,DC=hq,DC=local","Marketing"
Carl,Young,cyoung,Mashad62974!,Sales,Engineer,carl.young@hq.local,555-1039,"OU=Sales,DC=hq,DC=local","Sales"
Hailey,Diaz,hdiaz,Mashad62974!,Development,Coordinator,hailey.diaz@hq.local,555-1040,"OU=Development,DC=hq,DC=local","Development"
Patrick,Lopez,plopez,Mashad62974!,HR,Manager,patrick.lopez@hq.local,555-1041,"OU=HR,DC=hq,DC=local","HR"
Victoria,James,vjames,Mashad62974!,Marketing,Analyst,victoria.james@hq.local,555-1042,"OU=Marketing,DC=hq,DC=local","Marketing"
Derek,Scott,dscott,Mashad62974!,Sales,Coordinator,derek.scott@hq.local,555-1043,"OU=Sales,DC=hq,DC=local","Sales"
Brooke,Martin,bmartin,Mashad62974!,Development,Engineer,brooke.martin@hq.local,555-1044,"OU=Development,DC=hq,DC=local","Development"
Ronald,Peterson,rpeterson,Mashad62974!,HR,Analyst,ronald.peterson@hq.local,555-1045,"OU=HR,DC=hq,DC=local","HR"
William,Turner,wturner,Mashad62974!,Marketing,Manager,william.turner@hq.local,555-1046,"OU=Marketing,DC=hq,DC=local","Marketing"
Monica,Hall,mhall,Mashad62974!,Sales,Engineer,monica.hall@hq.local,555-1047,"OU=Sales,DC=hq,DC=local","Sales"
Steven,Martin,smartin,Mashad62974!,Development,Coordinator,steven.martin@hq.local,555-1048,"OU=Development,DC=hq,DC=local","Development"
Jessica,Clarke,jclarke,Mashad62974!,HR,Manager,jessica.clarke@hq.local,555-1049,"OU=HR,DC=hq,DC=local","HR"
David,Johnson,djohnson,Mashad62974!,Marketing,Analyst,david.johnson@hq.local,555-1050,"OU=Marketing,DC=hq,DC=local","Marketing"
